urls,event_id,shape
http://www.mufoncms.com/files_jeud8334j/4179_submitter_file1__021_21.JPG,4179,
http://www.mufoncms.com/files_jeud8334j/4178_submitter_file1__Aug12005.jpg,4178,
http://www.mufoncms.com/files_jeud8334j/4175_submitter_file1__SabinoCanyonAZ32004.JPG,4175,Disc
http://www.mufoncms.com/files_jeud8334j/4152_submitter_file1__Bruemmer_photo.jpg,4152,
http://www.mufoncms.com/files/60475_submitter_file1__photo.JPG,60475,Triangle
http://www.mufoncms.com/files_jeud8334j/60469_submitter_file1__image.jpg,60469,Disc
http://www.mufoncms.com/files_jeud8334j/60466_submitter_file1__IMG201410080002.jpg,60466,Other
http://www.mufoncms.com/files_jeud8334j/60464_submitter_file1__image.jpg,60464,Boomerang
http://www.mufoncms.com/files_jeud8334j/60460_submitter_file1__image.jpg,60460,Diamond
http://www.mufoncms.com/files/60454_submitter_file1__IMG2014090800252.jpg,60454,Sphere
http://www.mufoncms.com/files_jeud8334j/60447_submitter_file1__IMG201408232219306861.jpg,60447,Circle
http://www.mufoncms.com/files_jeud8334j/60445_submitter_file1__Screenshot20141002154947.png,60445,Sphere
http://www.mufoncms.com/files_jeud8334j/16192_submitter_file1__S6300222.JPG,16192,Triangle
http://www.mufoncms.com/files_jeud8334j/16191_submitter_file1__0115nightshots05001.JPG,16191,Cone
http://www.mufoncms.com/files_jeud8334j/16181_submitter_file1__shock.JPG,16181,Oval
http://www.mufoncms.com/files_jeud8334j/16177_submitter_file1__OVNIS94001.JPG,16177,Circle
http://www.mufoncms.com/files_jeud8334j/16176_submitter_file1__DSC_0059.jpg,16176,Other
http://www.mufoncms.com/files_jeud8334j/16173_submitter_file1__fotoovni.JPG,16173,Circle
http://www.mufoncms.com/files_jeud8334j/16168_submitter_file1__DSC00404.JPG,16168,Star-like
http://www.mufoncms.com/files_jeud8334j/16164_submitter_file1__IMG_4109.JPG,16164,Sphere
http://www.mufoncms.com/files_jeud8334j/16162_submitter_file1__PassGTrackLargeGraphiccosmos.jpg,16162,Star-like
http://www.mufoncms.com/files_jeud8334j/64912_submitter_file1__WEBPAGE20150327225943.jpg,64912,
http://www.mufoncms.com/files_jeud8334j/64911_submitter_file1__UFO.png,64911,Cigar
http://www.mufoncms.com/files_jeud8334j/64906_submitter_file1__SpriteMap.jpg,64906,Teardrop
http://www.mufoncms.com/files_jeud8334j/64905_submitter_file1__image.jpg,64905,Cylinder
http://www.mufoncms.com/files_jeud8334j/64903_submitter_file1__BlueAngelCrashSiteMay32007.jpg,64903,
http://www.mufoncms.com/files_jeud8334j/64894_submitter_file2__image.jpg,64894,Bullet
http://www.mufoncms.com/files_jeud8334j/64892_submitter_file1__1.jpg,64892,Fireball
http://www.mufoncms.com/files_jeud8334j/64884_submitter_file2__P1010153.JPG,64884,Sphere
http://www.mufoncms.com/files_jeud8334j/14027_submitter_file1__Picture068.jpg,14027,Other
http://www.mufoncms.com/files_jeud8334j/14023_submitter_file1__IMG_1104.JPG,14023,Star-like
http://www.mufoncms.com/files_jeud8334j/14021_submitter_file1__IMG_1708-CMS14021.JPG,14021,Triangle
http://www.mufoncms.com/files_jeud8334j/14015_submitter_file1__escondidoUFO.jpg,14015,Triangle
http://www.mufoncms.com/files_jeud8334j/14010_submitter_file1__ufo.GIF,14010,Circle
http://www.mufoncms.com/files_jeud8334j/14000_submitter_file1__UFO.jpg,14000,Egg
http://www.mufoncms.com/files_jeud8334j/87550_submitter_file1__20171020164547.jpg,87550,Sphere
http://www.mufoncms.com/files_jeud8334j/87548_submitter_file1__seq1.JPG,87548,Square
http://www.mufoncms.com/files_jeud8334j/87544_submitter_file1__24AF8BA2000005782909553imagea11421228974373.jpg,87544,
http://www.mufoncms.com/files_jeud8334j/87541_submitter_file1__LightintheskyOctober122017ShirleyArkansa.JPG,87541,Sphere
http://www.mufoncms.com/files_jeud8334j/87533_submitter_file1__20171021022814.jpg,87533,Saturn-like
http://www.mufoncms.com/files_jeud8334j/87529_submitter_file1__ACF51ECFF3DE413086A66E88E3AAB840.jpeg,87529,Cylinder
http://www.mufoncms.com/files_jeud8334j/87525_submitter_file1__ufo.jpg,87525,Circle
http://www.mufoncms.com/files_jeud8334j/87523_submitter_file1__Screenshot20171023064606.png,87523,
http://www.mufoncms.com/files_jeud8334j/53653_submitter_file1__ScreenShot20140122at9.21.07AM.png,53653,Cigar
http://www.mufoncms.com/files_jeud8334j/53643_submitter_file1__whatisaw.jpg,53643,Sphere
http://www.mufoncms.com/files_jeud8334j/53638_submitter_file1__IMG20140120232509.jpg,53638,Other
http://www.mufoncms.com/files_jeud8334j/53630_submitter_file1__cloud3spotjpg.jpg,53630,Disc
http://www.mufoncms.com/files_jeud8334j/73528_submitter_file1__20150808202348.jpg,73528,Sphere
http://www.mufoncms.com/files_jeud8334j/73520_submitter_file1__image.jpg,73520,Fireball
http://www.mufoncms.com/files_jeud8334j/73513_submitter_file1__IMG2309.JPG,73513,Fireball
http://www.mufoncms.com/files_jeud8334j/73504_submitter_file2__OrangeOrbsThroughWindshieldinWoodinvilleWA.jpg,73504,Sphere
http://www.mufoncms.com/files_jeud8334j/45873_submitter_file1__image.jpeg,45873,Oval
http://www.mufoncms.com/files_jeud8334j/45870_submitter_file1__image.jpg,45870,Circle
http://www.mufoncms.com/files_jeud8334j/45861_submitter_file1__WP000019.jpg,45861,Unknown
http://www.mufoncms.com/files_jeud8334j/45855_submitter_file1__IMG0738.JPG,45855,Sphere
http://www.mufoncms.com/files_jeud8334j/45853_submitter_file1__IMG0308.JPG,45853,Sphere
http://www.mufoncms.com/files_jeud8334j/37735_submitter_file1__Circleoflights1.JPG,37735,Circle
http://www.mufoncms.com/files_jeud8334j/37726_submitter_file1__IMG_2734.JPG,37726,Boomerang
http://www.mufoncms.com/files_jeud8334j/78494_submitter_file1__MoonSomething.jpg,78494,Unknown
http://www.mufoncms.com/files_jeud8334j/78491_submitter_file1__image.jpeg,78491,Oval
http://www.mufoncms.com/files_jeud8334j/78489_submitter_file1__weirdlight51516.jpg,78489,Other
http://www.mufoncms.com/files_jeud8334j/78488_submitter_file1__DSCN7209.JPG,78488,Triangle
http://www.mufoncms.com/files_jeud8334j/78487_submitter_file1__20160816192317.jpg,78487,Circle
http://www.mufoncms.com/files_jeud8334j/78479_submitter_file2__image.png,78479,Star-like
http://www.mufoncms.com/files_jeud8334j/78475_submitter_file2__image.jpeg,78475,Star-like
http://www.mufoncms.com/files_jeud8334j/49776_submitter_file1__SunsetUFO.JPG,49776,Saturn-like
http://www.mufoncms.com/files_jeud8334j/49772_submitter_file1__IMG20130812162639.jpg,49772,Triangle
http://www.mufoncms.com/files_jeud8334j/49767_submitter_file1__00.13.05.jpg,49767,Blimp
http://www.mufoncms.com/files_jeud8334j/49752_submitter_file1__image.jpg,49752,Boomerang
http://www.mufoncms.com/files_jeud8334j/32415_submitter_file1__sighting1.jpg,32415,Other
http://www.mufoncms.com/files_jeud8334j/47680_submitter_file1__image.jpg,47680,Cylinder
http://www.mufoncms.com/files_jeud8334j/47678_submitter_file1__DSCN9929.JPG,47678,Disc
http://www.mufoncms.com/files_jeud8334j/47668_submitter_file1__20130527024505476.jpg,47668,Disc
http://www.mufoncms.com/files_jeud8334j/47667_submitter_file1__ufosuhadole6.2012.jpg,47667,Other
http://www.mufoncms.com/files_jeud8334j/47664_submitter_file2__image.jpg,47664,Flash
http://www.mufoncms.com/files_jeud8334j/47650_submitter_file1__2012111.jpg,47650,Cylinder
http://www.mufoncms.com/files_jeud8334j/69200_submitter_file2__11800449101017342451408378963234096813087139n.jpg,69200,Cigar
http://www.mufoncms.com/files_jeud8334j/69198_submitter_file1__image.jpg,69198,Oval
http://www.mufoncms.com/files_jeud8334j/69195_submitter_file1__drawing2890549693103576.png,69195,Unknown
http://www.mufoncms.com/files_jeud8334j/69192_submitter_file1__20150810220618.jpg,69192,Flash
http://www.mufoncms.com/files_jeud8334j/69186_submitter_file1__chrislight6box4.jpg,69186,Cone
http://www.mufoncms.com/files_jeud8334j/69183_submitter_file1__ufo.jpg,69183,Cylinder
http://www.mufoncms.com/files_jeud8334j/69180_submitter_file1__20150805180848.jpg,69180,Sphere
http://www.mufoncms.com/files_jeud8334j/69178_submitter_file1__20150809205913.jpg,69178,Triangle
http://www.mufoncms.com/files_jeud8334j/19834_submitter_file1__DSC05982a.jpg,19834,Sphere
http://www.mufoncms.com/files_jeud8334j/19823_submitter_file1__BALTICUFO.jpg,19823,Cross
http://www.mufoncms.com/files_jeud8334j/19811_submitter_file1__RoundLake11PM10-4-09.jpg,19811,Disc
