,reported_on,sighted_on,description,duration,municipality,state,country,latitude,longitude,shape,url,caption,object
47752,2013-05-31 07:49:00,2013-05-30 07:00:00,Viewing Distance 101-500 Feet,0 days 00:00:10.000000000, Hermosillo,, Mexico, 29.08343, -111.00764, Chevron,,,
47753,2013-05-31 09:25:00,2013-05-30 10:19:00,Viewing Distance Over One Mile,0 days 03:25:15.000000000, Fox Lake,, United States, 42.38898, -88.17045, Oval,,,
47754,2013-05-31 10:51:00,2013-05-31 07:00:00,"Viewing Distance Over 1 Mile, Unknown",, Copenhagen,, Denmark, 55.68076, 12.57355,,,,
47755,2013-05-31 11:33:00,2013-05-30 05:11:00,Viewing Distance 501 Feet - 1 Mile,, Moreno Valley,, United States, 33.94389, -117.15072,,,,
47756,2013-05-31 15:54:00,2012-11-03 07:00:00,Viewing Distance 501 Feet - 1 Mile,, Armadale,, United Kingdom, 55.89774, -3.70216,,,,
47757,2013-05-31 17:39:00,1974-07-15 04:15:00,Viewing Distance Unknown,0 days 00:02:00.000000000, Winchester,, United States, 37.97891, -84.15135, Fireball,,,
47758,2013-05-31 18:30:00,2013-05-27 04:00:00,Viewing Distance 101-500 Feet,, Adams,, United States, 43.80923, -76.02409,,,,
47759,2013-05-31 20:27:00,2013-05-31 06:08:00,Viewing Distance Unknown,, Portland,, United States, 45.53145, -122.66821,,,,
47760,2013-05-31 21:33:00,1972-08-13 07:00:00,Viewing Distance Over One Mile,, Between Lebanon and Readi,, United States, 41.20684, -77.18543,,,,
47761,2013-05-31 21:40:00,2013-05-30 07:00:00,Viewing Distance 101-500 Feet,, Pleasantville,, United States, 39.40902, -74.50410,,,,
47762,2013-05-31 23:07:00,1990-04-10 05:24:00,"Viewing Distance Over 1 Mile, Unknown",0 days 03:45:21.000000000, Lancaster,, United States, 34.69250, -118.15172, Sphere,,,
47763,2013-06-01 01:12:00,2008-07-16 05:00:00,Viewing Distance 21-100 Feet,, Rotonda West,, United States, 26.91374, -82.25014,,,,
47764,2013-06-01 01:49:00,2013-05-31 08:04:00,Viewing Distance Unknown,, Dallas,, United States, 32.78959, -96.79170,,,,
47765,2013-06-01 01:53:00,2013-05-26 07:00:00,Viewing Distance 21-100 Feet,, Augusta,, United States, 38.57255, -90.88208,,,,
47766,2013-06-01 02:01:00,2013-05-30 07:00:00,Viewing Distance 501 Feet - 1 Mile,, Pittsburgh,, United States, 40.43999, -80.00375,,,,
47767,2013-06-01 02:57:00,2013-05-31 21:48:00,Viewing Distance Unknown,, Silver Springs,, United States, 39.40824, -119.20312,,,,
47768,2013-06-01 04:24:00,2013-06-01 01:07:00,"Viewing Distance 21-100 Feet, N/A",, Oklahoma City,, United States, 35.46970, -97.51486,,,,
47769,2013-06-01 04:33:00,2013-05-22 00:54:00,Viewing Distance Unknown,, Sedona,, United States, 34.87349, -111.75159,,,,
47770,2013-06-01 05:12:00,2013-06-01 04:30:00,Viewing Distance Over One Mile,0 days 00:15:00.000000000, Perry Hall,, United States, 39.42204, -76.48805, Circle,,,
47772,2013-06-01 06:46:00,2013-05-31 03:40:00,Viewing Distance Over One Mile,, Henderson,, United States, 36.01021, -114.97168,,,,
47773,2013-06-01 07:55:00,2013-06-01 06:10:00,Viewing Distance Unknown,, Greater Sudbury,, Canada, 46.65015, -81.00245,,,,
47774,2013-06-01 08:23:00,2013-06-01 04:30:00,Viewing Distance Unknown,, Tracy,, United States, 37.74196, -121.42165,,,,
47775,2013-06-01 08:53:00,2013-06-01 07:00:00,Viewing Distance 21-100 Feet,, Lawrenceville,, United States, 33.93576, -84.03011,,,,
47776,2013-06-01 09:06:00,1987-07-11 06:15:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:40:00.000000000, Pocomoke City,, United States, 38.08371, -75.50272, Disc,,,
47777,2013-06-01 18:13:00,2013-05-11 00:00:00,Viewing Distance Unknown,0 days 00:01:30.000000000, Kentucky,, 37.84602, -84.26809,, Cylinder,,,
47778,2013-06-01 18:50:00,1995-11-07 08:00:00,Viewing Distance 101-500 Feet,0 days 00:02:06.000000000, Cromwell,, United States, 41.62241, -72.63597, Disc,,,
47779,2013-06-01 19:31:00,1990-06-04 02:15:00,Viewing Distance Over One Mile,, Santa Barbara,, United States, 34.40287, -119.72753,,,,
47780,2013-06-01 23:29:00,1986-07-18 03:00:00,Viewing Distance 501 Feet - 1 Mile,0 days 00:10:00.000000000, Sheffield,, United Kingdom, 53.39023, -1.46810, Oval,,,
47781,2013-06-02 00:14:00,1990-07-07 13:01:00,"Viewing Distance 20 Feet or Less, 21-100 Feet, 101-500 Feet, 501 Feet - 1 Mile, Over 1 Mile, Unknown, N/A",0 days 01:07:01.000000000, Surat,, India, 21.19500, 72.81944, Blimp,,,
47782,2013-06-02 01:17:00,2013-06-01 04:50:00,Viewing Distance Over One Mile,, East Lansing,, United States, 42.72709, -84.47932,,,,
47783,2013-06-02 01:28:00,2013-05-18 07:00:00,Viewing Distance 501 Feet - 1 Mile,, Miami,, United States, 25.77931, -80.28450,,,,
47785,2013-06-02 03:06:00,2013-06-01 07:00:00,Viewing Distance Unknown,, Americus,, United States, 32.07239, -84.23269,,,,
47786,2013-06-02 03:39:00,2013-06-02 00:15:00,"Viewing Distance 21-100 Feet, Over 1 Mile",, Glenwood Springs,, United States, 39.55701, -107.32231,,,,
47787,2013-06-02 03:42:00,1999-09-01 07:00:00,Viewing Distance 101-500 Feet,, Lumberton,, United States, 30.21170, -94.23007,,,,
47788,2013-06-02 04:29:00,2013-05-31 21:00:00,Viewing Distance Unknown,0 days 01:02:00.000000000, Quilmes,, Argentina, -34.71776, -58.24515, Unknown,,,
